,Date,Streams,sdstreams,Week
1,6/7/2018,15055738,90.52609227,1
2,6/14/2018,14618503,87.89711613,2
3,6/21/2018,14632454,87.98099974,3
4,6/28/2018,15184018,91.29740532,4
5,7/5/2018,15034965,90.40118983,5
6,7/12/2018,15037653,90.41735205,6
7,7/19/2018,15824006,95.14548057,7
8,7/26/2018,15946455,95.88173338,8
9,8/2/2018,15498280,93.18697797,9
10,8/9/2018,15019456,90.30793839,10
11,8/16/2018,15281464,91.88332184,11
12,8/23/2018,15301131,92.0015742,12
13,8/30/2018,15720307,94.52196645,13
14,9/6/2018,15850205,95.30300809,14
15,9/13/2018,15198712,91.38575638,15
16,9/20/2018,15327855,92.16225841,16
17,9/27/2018,15412932,92.67380347,17
18,10/4/2018,15599189,93.79371658,18
19,10/11/2018,15258783,91.7469471,19
20,10/18/2018,15288080,91.92310206,20
21,10/25/2018,15899330,95.59838346,21
22,11/1/2018,15898919,95.59591223,22
23,11/8/2018,15654086,94.12379743,23
24,11/15/2018,16457994,98.95747943,24
25,11/22/2018,16107765,96.85164691,25
26,11/29/2018,15684889,94.30900756,26
27,12/6/2018,15349488,92.2923318,27
28,12/13/2018,14863288,89.36894232,28
29,12/20/2018,14805209,89.01972896,29
30,12/27/2018,14824400,89.13511927,30
31,1/3/2019,14458893,86.93742425,31
32,1/10/2019,15873334,95.44207653,32
33,1/17/2019,16588046,99.73944704,33
34,1/24/2019,17348256,104.3103847,34
35,1/31/2019,17635657,106.0384495,35
36,2/7/2019,15557851,93.54516233,36
37,2/14/2019,18117862,108.9378181,37
38,2/21/2019,17853270,107.3468977,38
39,2/28/2019,17262196,103.7929292,39
40,3/7/2019,17238548,103.6507401,40
41,3/14/2019,16936929,101.8371864,41
42,3/21/2019,16785256,100.9252176,42
43,3/28/2019,16559411,99.5672725,43
44,4/4/2019,17160008,103.1785003,44
45,4/11/2019,18702007,112.4501244,45
46,4/18/2019,19078244,114.712336,46
47,4/25/2019,17918548,107.7393967,47
48,5/2/2019,17618072,105.9327156,48
49,5/9/2019,17572052,105.6560097,49
50,5/16/2019,17637356,106.0486651,50
51,5/23/2019,16284435,97.91391597,51
52,5/30/2019,16957737,101.9622993,52
53,6/6/2019,16297111,97.99013334,53
54,6/13/2019,16168936,97.21945163,54
55,6/20/2019,16334399,98.21433603,55
56,6/27/2019,17904971,107.6577619,56
57,7/4/2019,18526628,111.3956178,57
58,7/11/2019,18354950,110.3633643,58
59,7/18/2019,18685310,112.3497299,59
60,7/25/2019,18150259,109.1326125,60
61,8/1/2019,17907335,107.671976,61
62,8/8/2019,17885619,107.5414035,62
63,8/15/2019,16303538,98.02877716,63
64,8/22/2019,17206791,103.4597939,64
65,8/29/2019,18023228,108.3688094,65
66,9/5/2019,17796159,107.0035047,66
67,9/12/2019,18398657,110.6261627,67
68,9/19/2019,18329331,110.2093241,68
69,9/26/2019,18304904,110.0624512,69
70,10/3/2019,18081491,108.7191291,70
71,10/10/2019,18521394,111.3641472,71
72,10/17/2019,18358592,110.3852626,72
73,10/24/2019,18189081,109.3660387,73
74,10/31/2019,17749679,106.724033,74
75,11/7/2019,17977978,108.0967333,75
76,11/14/2019,17702009,106.4374061,76
77,11/21/2019,18260090,109.7929967,77
78,11/28/2019,17974793,108.0775828,78
79,12/5/2019,18075036,108.6803169,79
80,12/12/2019,17814775,107.1154377,80
81,12/19/2019,17378361,104.491398,81
82,12/26/2019,17135887,103.0334672,82
83,1/2/2020,16163163,97.18474014,83
84,1/9/2020,17653836,106.1477549,84
85,1/16/2020,18493418,111.195935,85
86,1/23/2020,19023691,114.3843236,86
87,1/30/2020,16114610,96.89280405,87
88,2/6/2020,18158899,109.1845625,88
89,2/13/2020,18257295,109.7761911,89
90,2/20/2020,18622670,111.9730924,90
91,2/27/2020,20371482,122.4882274,91
92,3/5/2020,19260336,115.8072061,92
93,3/12/2020,19000429,114.2444554,93
94,3/19/2020,18110948,108.8962461,94
95,3/26/2020,17408911,104.6750869,95
96,4/2/2020,17093753,102.7801268,96
97,4/9/2020,15316059,92.09133224,97
98,4/16/2020,14240560,85.6246468,98
99,4/23/2020,13750307,82.67688773,99
100,4/30/2020,12950440,77.86750317,100
101,5/7/2020,12424879,74.70744661,101
102,5/14/2020,13069930,78.58596431,102
103,5/21/2020,12730056,76.54239361,103
104,5/28/2020,12526453,75.31818368,104
105,6/4/2020,12975914,78.02067146,105
