"","Date","Streams","Week"
"1",2018-06-07,5337863,1
"2",2018-06-14,5375343,2
"3",2018-06-21,5488166,3
"4",2018-06-28,5581160,4
"5",2018-07-05,5352374,5
"6",2018-07-12,5334960,6
"7",2018-07-19,5443995,7
"8",2018-07-26,5510543,8
"9",2018-08-02,5443901,9
"10",2018-08-09,5431368,10
"11",2018-08-16,5329202,11
"12",2018-08-23,5579714,12
"13",2018-08-30,5492874,13
"14",2018-09-06,5582981,14
"15",2018-09-13,5433628,15
"16",2018-09-20,5056347,16
"17",2018-09-27,5309806,17
"18",2018-10-04,5300491,18
"19",2018-10-11,5383560,19
"20",2018-10-18,5304815,20
"21",2018-10-25,5679769,21
"22",2018-11-01,5813437,22
"23",2018-11-08,5983048,23
"24",2018-11-15,6119401,24
"25",2018-11-22,5964571,25
"26",2018-11-29,5854719,26
"27",2018-12-06,5880286,27
"28",2018-12-13,5821120,28
"29",2018-12-20,5909120,29
"30",2018-12-27,5956828,30
"31",2019-01-03,5386887,31
"32",2019-01-10,6104838,32
"33",2019-01-17,6113859,33
"34",2019-01-24,6206405,34
"35",2019-01-31,6327542,35
"36",2019-02-07,5509393,36
"37",2019-02-14,6339003,37
"38",2019-02-21,6377246,38
"39",2019-02-28,6183483,39
"40",2019-03-07,6168313,40
"41",2019-03-14,6116190,41
"42",2019-03-21,6198695,42
"43",2019-03-28,6143204,43
"44",2019-04-04,6411731,44
"45",2019-04-11,6443760,45
"46",2019-04-18,6545732,46
"47",2019-04-25,5896799,47
"48",2019-05-02,6029605,48
"49",2019-05-09,5989748,49
"50",2019-05-16,5967264,50
"51",2019-05-23,5929359,51
"52",2019-05-30,5982476,52
"53",2019-06-06,6055767,53
"54",2019-06-13,5358224,54
"55",2019-06-20,5710170,55
"56",2019-06-27,6337580,56
"57",2019-07-04,6251780,57
"58",2019-07-11,6416106,58
"59",2019-07-18,6790003,59
"60",2019-07-25,6328160,60
"61",2019-08-01,6023346,61
"62",2019-08-08,5940565,62
"63",2019-08-15,5974205,63
"64",2019-08-22,6267713,64
"65",2019-08-29,6766261,65
"66",2019-09-05,6394497,66
"67",2019-09-12,6747062,67
"68",2019-09-19,7080627,68
"69",2019-09-26,7110155,69
"70",2019-10-03,6342740,70
"71",2019-10-10,6292341,71
"72",2019-10-17,7016891,72
"73",2019-10-24,7021861,73
"74",2019-10-31,7170507,74
"75",2019-11-07,7212510,75
"76",2019-11-14,5972302,76
"77",2019-11-21,6334477,77
"78",2019-11-28,6788948,78
"79",2019-12-05,6915778,79
"80",2019-12-12,7183575,80
"81",2019-12-19,7333223,81
"82",2019-12-26,7191723,82
"83",2020-01-02,6679844,83
"84",2020-01-09,7382449,84
"85",2020-01-16,7475419,85
"86",2020-01-23,7509443,86
"87",2020-01-30,5580327,87
"88",2020-02-06,5869277,88
"89",2020-02-13,6106938,89
"90",2020-02-20,6422076,90
"91",2020-02-27,7020522,91
"92",2020-03-05,6676816,92
"93",2020-03-12,6505807,93
"94",2020-03-19,6348360,94
"95",2020-03-26,6230597,95
"96",2020-04-02,6197766,96
"97",2020-04-09,6091118,97
"98",2020-04-16,6055997,98
"99",2020-04-23,6218492,99
"100",2020-04-30,6037156,100
"101",2020-05-07,6143389,101
"102",2020-05-14,6891350,102
"103",2020-05-21,7854530,103
"104",2020-05-28,7775682,104
"105",2020-06-04,6692791,105
