"","Date","Streams","Week"
"1",2018-06-07,15055738,1
"2",2018-06-14,14618503,2
"3",2018-06-21,14632454,3
"4",2018-06-28,15184018,4
"5",2018-07-05,15034965,5
"6",2018-07-12,15037653,6
"7",2018-07-19,15824006,7
"8",2018-07-26,15946455,8
"9",2018-08-02,15498280,9
"10",2018-08-09,15019456,10
"11",2018-08-16,15281464,11
"12",2018-08-23,15301131,12
"13",2018-08-30,15720307,13
"14",2018-09-06,15850205,14
"15",2018-09-13,15198712,15
"16",2018-09-20,15327855,16
"17",2018-09-27,15412932,17
"18",2018-10-04,15599189,18
"19",2018-10-11,15258783,19
"20",2018-10-18,15288080,20
"21",2018-10-25,15899330,21
"22",2018-11-01,15898919,22
"23",2018-11-08,15654086,23
"24",2018-11-15,16457994,24
"25",2018-11-22,16107765,25
"26",2018-11-29,15684889,26
"27",2018-12-06,15349488,27
"28",2018-12-13,14863288,28
"29",2018-12-20,14805209,29
"30",2018-12-27,14824400,30
"31",2019-01-03,14458893,31
"32",2019-01-10,15873334,32
"33",2019-01-17,16588046,33
"34",2019-01-24,17348256,34
"35",2019-01-31,17635657,35
"36",2019-02-07,15557851,36
"37",2019-02-14,18117862,37
"38",2019-02-21,17853270,38
"39",2019-02-28,17262196,39
"40",2019-03-07,17238548,40
"41",2019-03-14,16936929,41
"42",2019-03-21,16785256,42
"43",2019-03-28,16559411,43
"44",2019-04-04,17160008,44
"45",2019-04-11,18702007,45
"46",2019-04-18,19078244,46
"47",2019-04-25,17918548,47
"48",2019-05-02,17618072,48
"49",2019-05-09,17572052,49
"50",2019-05-16,17637356,50
"51",2019-05-23,16284435,51
"52",2019-05-30,16957737,52
"53",2019-06-06,16297111,53
"54",2019-06-13,16168936,54
"55",2019-06-20,16334399,55
"56",2019-06-27,17904971,56
"57",2019-07-04,18526628,57
"58",2019-07-11,18354950,58
"59",2019-07-18,18685310,59
"60",2019-07-25,18150259,60
"61",2019-08-01,17907335,61
"62",2019-08-08,17885619,62
"63",2019-08-15,16303538,63
"64",2019-08-22,17206791,64
"65",2019-08-29,18023228,65
"66",2019-09-05,17796159,66
"67",2019-09-12,18398657,67
"68",2019-09-19,18329331,68
"69",2019-09-26,18304904,69
"70",2019-10-03,18081491,70
"71",2019-10-10,18521394,71
"72",2019-10-17,18358592,72
"73",2019-10-24,18189081,73
"74",2019-10-31,17749679,74
"75",2019-11-07,17977978,75
"76",2019-11-14,17702009,76
"77",2019-11-21,18260090,77
"78",2019-11-28,17974793,78
"79",2019-12-05,18075036,79
"80",2019-12-12,17814775,80
"81",2019-12-19,17378361,81
"82",2019-12-26,17135887,82
"83",2020-01-02,16163163,83
"84",2020-01-09,17653836,84
"85",2020-01-16,18493418,85
"86",2020-01-23,19023691,86
"87",2020-01-30,16114610,87
"88",2020-02-06,18158899,88
"89",2020-02-13,18257295,89
"90",2020-02-20,18622670,90
"91",2020-02-27,20371482,91
"92",2020-03-05,19260336,92
"93",2020-03-12,19000429,93
"94",2020-03-19,18110948,94
"95",2020-03-26,17408911,95
"96",2020-04-02,17093753,96
"97",2020-04-09,15316059,97
"98",2020-04-16,14240560,98
"99",2020-04-23,13750307,99
"100",2020-04-30,12950440,100
"101",2020-05-07,12424879,101
"102",2020-05-14,13069930,102
"103",2020-05-21,12730056,103
"104",2020-05-28,12526453,104
"105",2020-06-04,12975914,105
