Date,Streams,sdstreams,Week,Country,CountryDummy,AfterDummy,Lockdown ,Restriction,new_cases,new_deaths
6/7/2018,15055738,90.52609227,1,SG,1,0,0,0,0,0
6/14/2018,14618503,87.89711613,2,SG,1,0,0,0,0,0
6/21/2018,14632454,87.98099974,3,SG,1,0,0,0,0,0
6/28/2018,15184018,91.29740532,4,SG,1,0,0,0,0,0
7/5/2018,15034965,90.40118983,5,SG,1,0,0,0,0,0
7/12/2018,15037653,90.41735205,6,SG,1,0,0,0,0,0
7/19/2018,15824006,95.14548057,7,SG,1,0,0,0,0,0
7/26/2018,15946455,95.88173338,8,SG,1,0,0,0,0,0
8/2/2018,15498280,93.18697797,9,SG,1,0,0,0,0,0
8/9/2018,15019456,90.30793839,10,SG,1,0,0,0,0,0
8/16/2018,15281464,91.88332184,11,SG,1,0,0,0,0,0
8/23/2018,15301131,92.0015742,12,SG,1,0,0,0,0,0
8/30/2018,15720307,94.52196645,13,SG,1,0,0,0,0,0
9/6/2018,15850205,95.30300809,14,SG,1,0,0,0,0,0
9/13/2018,15198712,91.38575638,15,SG,1,0,0,0,0,0
9/20/2018,15327855,92.16225841,16,SG,1,0,0,0,0,0
9/27/2018,15412932,92.67380347,17,SG,1,0,0,0,0,0
10/4/2018,15599189,93.79371658,18,SG,1,0,0,0,0,0
10/11/2018,15258783,91.7469471,19,SG,1,0,0,0,0,0
10/18/2018,15288080,91.92310206,20,SG,1,0,0,0,0,0
10/25/2018,15899330,95.59838346,21,SG,1,0,0,0,0,0
11/1/2018,15898919,95.59591223,22,SG,1,0,0,0,0,0
11/8/2018,15654086,94.12379743,23,SG,1,0,0,0,0,0
11/15/2018,16457994,98.95747943,24,SG,1,0,0,0,0,0
11/22/2018,16107765,96.85164691,25,SG,1,0,0,0,0,0
11/29/2018,15684889,94.30900756,26,SG,1,0,0,0,0,0
12/6/2018,15349488,92.2923318,27,SG,1,0,0,0,0,0
12/13/2018,14863288,89.36894232,28,SG,1,0,0,0,0,0
12/20/2018,14805209,89.01972896,29,SG,1,0,0,0,0,0
12/27/2018,14824400,89.13511927,30,SG,1,0,0,0,0,0
1/3/2019,14458893,86.93742425,31,SG,1,0,0,0,0,0
1/10/2019,15873334,95.44207653,32,SG,1,0,0,0,0,0
1/17/2019,16588046,99.73944704,33,SG,1,0,0,0,0,0
1/24/2019,17348256,104.3103847,34,SG,1,0,0,0,0,0
1/31/2019,17635657,106.0384495,35,SG,1,0,0,0,0,0
2/7/2019,15557851,93.54516233,36,SG,1,0,0,0,0,0
2/14/2019,18117862,108.9378181,37,SG,1,0,0,0,0,0
2/21/2019,17853270,107.3468977,38,SG,1,0,0,0,0,0
2/28/2019,17262196,103.7929292,39,SG,1,0,0,0,0,0
3/7/2019,17238548,103.6507401,40,SG,1,0,0,0,0,0
3/14/2019,16936929,101.8371864,41,SG,1,0,0,0,0,0
3/21/2019,16785256,100.9252176,42,SG,1,0,0,0,0,0
3/28/2019,16559411,99.5672725,43,SG,1,0,0,0,0,0
4/4/2019,17160008,103.1785003,44,SG,1,0,0,0,0,0
4/11/2019,18702007,112.4501244,45,SG,1,0,0,0,0,0
4/18/2019,19078244,114.712336,46,SG,1,0,0,0,0,0
4/25/2019,17918548,107.7393967,47,SG,1,0,0,0,0,0
5/2/2019,17618072,105.9327156,48,SG,1,0,0,0,0,0
5/9/2019,17572052,105.6560097,49,SG,1,0,0,0,0,0
5/16/2019,17637356,106.0486651,50,SG,1,0,0,0,0,0
5/23/2019,16284435,97.91391597,51,SG,1,0,0,0,0,0
5/30/2019,16957737,101.9622993,52,SG,1,0,0,0,0,0
6/6/2019,16297111,97.99013334,53,SG,1,0,0,0,0,0
6/13/2019,16168936,97.21945163,54,SG,1,0,0,0,0,0
6/20/2019,16334399,98.21433603,55,SG,1,0,0,0,0,0
6/27/2019,17904971,107.6577619,56,SG,1,0,0,0,0,0
7/4/2019,18526628,111.3956178,57,SG,1,0,0,0,0,0
7/11/2019,18354950,110.3633643,58,SG,1,0,0,0,0,0
7/18/2019,18685310,112.3497299,59,SG,1,0,0,0,0,0
7/25/2019,18150259,109.1326125,60,SG,1,0,0,0,0,0
8/1/2019,17907335,107.671976,61,SG,1,0,0,0,0,0
8/8/2019,17885619,107.5414035,62,SG,1,0,0,0,0,0
8/15/2019,16303538,98.02877716,63,SG,1,0,0,0,0,0
8/22/2019,17206791,103.4597939,64,SG,1,0,0,0,0,0
8/29/2019,18023228,108.3688094,65,SG,1,0,0,0,0,0
9/5/2019,17796159,107.0035047,66,SG,1,0,0,0,0,0
9/12/2019,18398657,110.6261627,67,SG,1,0,0,0,0,0
9/19/2019,18329331,110.2093241,68,SG,1,0,0,0,0,0
9/26/2019,18304904,110.0624512,69,SG,1,0,0,0,0,0
10/3/2019,18081491,108.7191291,70,SG,1,0,0,0,0,0
10/10/2019,18521394,111.3641472,71,SG,1,0,0,0,0,0
10/17/2019,18358592,110.3852626,72,SG,1,0,0,0,0,0
10/24/2019,18189081,109.3660387,73,SG,1,0,0,0,0,0
10/31/2019,17749679,106.724033,74,SG,1,0,0,0,0,0
11/7/2019,17977978,108.0967333,75,SG,1,0,0,0,0,0
11/14/2019,17702009,106.4374061,76,SG,1,0,0,0,0,0
11/21/2019,18260090,109.7929967,77,SG,1,0,0,0,0,0
11/28/2019,17974793,108.0775828,78,SG,1,0,0,0,0,0
12/5/2019,18075036,108.6803169,79,SG,1,0,0,0,0,0
12/12/2019,17814775,107.1154377,80,SG,1,0,0,0,0,0
12/19/2019,17378361,104.491398,81,SG,1,0,0,0,0,0
12/26/2019,17135887,103.0334672,82,SG,1,0,0,0,0,0
1/2/2020,16163163,97.18474014,83,SG,1,0,0,0,0,0
1/9/2020,17653836,106.1477549,84,SG,1,0,0,0,0,0
1/16/2020,18493418,111.195935,85,SG,1,0,0,0,1,0
1/23/2020,19023691,114.3843236,86,SG,1,0,0,0,9,0
1/30/2020,16114610,96.89280405,87,SG,1,0,0,0,18,0
2/6/2020,18158899,109.1845625,88,SG,1,0,0,0,30,0
2/13/2020,18257295,109.7761911,89,SG,1,0,0,0,26,0
2/20/2020,18622670,111.9730924,90,SG,1,0,0,0,9,0
2/27/2020,20371482,122.4882274,91,SG,1,0,0,0,24,0
3/5/2020,19260336,115.8072061,92,SG,1,0,0,0,61,0
3/12/2020,19000429,114.2444554,93,SG,1,1,0,0,135,0
3/19/2020,18110948,108.8962461,94,SG,1,1,0,0,167,0
3/26/2020,17408911,104.6750869,95,SG,1,1,0,1,338,2
