country,CountryDummy,date,Streams,Sdstreams,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential,Lockdown,Restrictions
SG,1,2/15/2020,2422002,106.0357032,-14,-9,-10,-17,-4,8,0,0
SG,1,2/16/2020,2360527,103.3443162,-19,-17,-18,-22,-7,8,0,0
SG,1,2/17/2020,2718835,119.0311078,-12,-6,-7,-14,-4,7,0,0
SG,1,2/18/2020,2715983,118.9062467,-13,-9,-7,-15,-5,7,0,0
SG,1,2/19/2020,2740881,119.9962858,-14,-14,-6,-15,-5,8,0,0
SG,1,2/20/2020,2741803,120.0366512,-14,-13,-10,-12,-5,7,0,0
SG,1,2/21/2020,2874450,125.8439618,-11,-12,-14,-12,0,8,0,0
SG,1,2/22/2020,2730143,119.5261742,-11,-9,-5,-16,-3,6,0,0
SG,1,2/23/2020,2639581,115.5613528,-14,-12,-3,-19,-5,6,0,0
SG,1,2/24/2020,2950723,129.1832081,-12,-8,-12,-14,-3,7,0,0
SG,1,2/25/2020,2936131,128.5443676,-10,-6,-2,-13,-3,6,0,0
SG,1,2/26/2020,2883610,126.2449883,-12,-13,-4,-14,-4,7,0,0
SG,1,2/27/2020,2892191,126.6206661,-12,-9,-5,-9,-4,6,0,0
SG,1,2/28/2020,2738476,119.8909945,-8,-10,-8,-11,1,7,0,0
SG,1,2/29/2020,2538132,111.1198965,-8,-7,-2,-13,0,5,0,0
SG,1,3/1/2020,2465227,107.9281018,-11,-9,-1,-16,-3,5,0,0
SG,1,3/2/2020,2791979,122.2333659,-8,-5,-7,-12,-2,6,0,0
SG,1,3/3/2020,2786516,121.9941947,-8,-5,-3,-13,-1,6,0,0
SG,1,3/4/2020,2768870,121.2216495,-11,-12,-7,-12,-2,6,0,0
SG,1,3/5/2020,2756702,120.6889322,-12,-11,-13,-9,-2,6,0,0
SG,1,3/6/2020,2702452,118.313857,-8,-9,-8,-10,3,7,0,0
SG,1,3/7/2020,2514225,110.0732435,-10,-8,-16,-15,0,6,0,0
SG,1,3/8/2020,2431359,106.4453544,-11,-10,-7,-16,-2,5,0,0
SG,1,3/9/2020,2743706,120.1199649,-11,-7,-9,-14,-1,6,0,0
SG,1,3/10/2020,2758275,120.7577984,-11,-7,-4,-13,-1,6,0,0
SG,1,3/11/2020,2724408,119.2750948,-13,-12,-9,-13,-2,7,0,0
SG,1,3/12/2020,2696266,118.0430327,-13,-9,-8,-9,-2,6,0,0
SG,1,3/13/2020,2592118,113.4834137,-10,-10,-9,-12,1,8,0,0
SG,1,3/14/2020,2356607,103.1726978,-11,-8,-1,-15,0,6,0,0
SG,1,3/15/2020,2241684,98.14134725,-14,-10,4,-18,-3,6,0,1
SG,1,3/16/2020,2660153,116.4619988,-10,-2,1,-16,-11,9,0,1
SG,1,3/17/2020,2628559,115.0788075,-8,16,2,-16,-12,9,0,1
SG,1,3/18/2020,2605542,114.0711189,-11,-2,-3,-19,-14,11,0,1
SG,1,3/19/2020,2597889,113.7360692,-13,-1,-2,-19,-16,12,0,1
SG,1,3/20/2020,2643535,115.7344596,-11,-6,-6,-21,-13,15,0,1
SG,1,3/21/2020,2271403,99.44245066,-13,-4,-15,-23,-3,11,0,1
SG,1,3/22/2020,2177675,95.33902119,-18,-8,-18,-31,-8,11,0,1
SG,1,3/23/2020,2500309,109.4639984,-16,-3,-23,-24,-11,12,0,1
SG,1,3/24/2020,2515601,110.133485,-13,3,-9,-23,-13,12,0,1
SG,1,3/25/2020,2481697,108.6491615,-16,-1,-13,-25,-15,14,0,1
